message_id,email_length,word_count,communication_time_category
<18782981.1075855378110.JavaMail.evans@thyme>,20,4,Night
<15464986.1075855378456.JavaMail.evans@thyme>,785,139,Evening
<7391389.1075855378477.JavaMail.evans@thyme>,149,25,Evening
<8572706.1075855378498.JavaMail.evans@thyme>,465,82,Night
<32300323.1075855378519.JavaMail.evans@thyme>,190,34,Evening
<27936946.1075855378542.JavaMail.evans@thyme>,1469,223,Evening
<9093068.1075855378565.JavaMail.evans@thyme>,6089,701,Night
<20312982.1075855378658.JavaMail.evans@thyme>,5446,561,Night
<5468446.1075855378133.JavaMail.evans@thyme>,5193,558,Evening
<9572632.1075855690782.JavaMail.evans@thyme>,985,183,Evening
<27290645.1075855690805.JavaMail.evans@thyme>,3526,534,Afternoon
<18351800.1075855690826.JavaMail.evans@thyme>,332,62,Afternoon
<6374041.1075855690847.JavaMail.evans@thyme>,108,6,Afternoon
<22766758.1075855690869.JavaMail.evans@thyme>,247,45,Morning
<19715626.1075855690890.JavaMail.evans@thyme>,230,42,Afternoon
<10517689.1075855690911.JavaMail.evans@thyme>,297,49,Afternoon
<6057369.1075855690933.JavaMail.evans@thyme>,2196,256,Morning
<2059657.1075855690955.JavaMail.evans@thyme>,207,27,Morning
<22039237.1075855690977.JavaMail.evans@thyme>,1068,150,Morning
<6082108.1075855691000.JavaMail.evans@thyme>,97,16,Morning
<15201149.1075855691021.JavaMail.evans@thyme>,213,38,Morning
<2594534.1075855378221.JavaMail.evans@thyme>,539,103,Evening
<4070589.1075855723617.JavaMail.evans@thyme>,20,4,Afternoon
<30467968.1075855723641.JavaMail.evans@thyme>,5092,502,Morning
<959015.1075855723664.JavaMail.evans@thyme>,545,103,Morning
<12046418.1075855723685.JavaMail.evans@thyme>,100,18,Morning
<19163852.1075855723727.JavaMail.evans@thyme>,668,84,Afternoon
<31424216.1075855723750.JavaMail.evans@thyme>,2299,310,Morning
<42817.1075855723774.JavaMail.evans@thyme>,6800,1047,Morning
<14983560.1075855723797.JavaMail.evans@thyme>,2111,280,Afternoon
<2687179.1075855723818.JavaMail.evans@thyme>,794,139,Morning
<32721402.1075855723856.JavaMail.evans@thyme>,150,25,Morning
<25030227.1075855723877.JavaMail.evans@thyme>,470,82,Morning
<11116915.1075855723898.JavaMail.evans@thyme>,192,34,Morning
<10924670.1075855723920.JavaMail.evans@thyme>,1443,221,Morning
<1090527.1075855723944.JavaMail.evans@thyme>,6016,643,Afternoon
<7770576.1075855723967.JavaMail.evans@thyme>,5337,491,Afternoon
<19129466.1075855378242.JavaMail.evans@thyme>,99,18,Evening
<23936138.1075855378263.JavaMail.evans@thyme>,36,7,Night
<10586305.1075855378285.JavaMail.evans@thyme>,667,84,Night
<18435268.1075855378308.JavaMail.evans@thyme>,2282,310,Evening
<33489531.1075855378332.JavaMail.evans@thyme>,6950,1099,Evening
<16509612.1075855378434.JavaMail.evans@thyme>,2096,280,Night
<7314652.1075855670998.JavaMail.evans@thyme>,985,183,Evening
<27477320.1075855671021.JavaMail.evans@thyme>,3526,534,Afternoon
<1670364.1075855671043.JavaMail.evans@thyme>,332,62,Afternoon
